ID_TRX;ID_Banco;ID_Marca_Tarjeta;ID_Categoria;Importe_Operacion;Moneda;Cantidad_Cuotas;Fecha_Operacion;Número de tarjeta;Modalidad;Fecha_Presentación_Cupón;Rubro_Establecimiento;Provincia_Consumidor;Provincia_Comercio;Observada_BCRA;Sexo;Ingresos_Usuario;Edad
35;Patagonia;Visa;Nacional;648139;Pesos;1;4/10/2022;4,21493E+15;Mercado Pago;7/10/2022;Ópticas y casas de artículos de fotografía;Formosa;Neuquén;0;Masculino;493074;22
36;Hipotecario;Visa;Nacional;95021;Pesos;1;28/1/2022;6,19843E+15;Presencial;3/2/2022;Ventas y servicio técnico de Celulares e Informática;Chaco;Santa Fe;0;Masculino;788193;23
37;Galicia;Visa;Internacional;695635;Pesos;1;29/11/2022;4,95365E+15;Venta Teléfonica;2/12/2022;Local de venta de materialeles de construcción;Neuquén;Misiones;0;Masculino;526615;18
38;Macro;Visa;Platinum;635344;Pesos;1;19/1/2022;6,35798E+15;Débito Automático;25/1/2022;Pinturerías;CABA;Córdoba;0;Masculino;528672;24
39;Santander;Visa;Platinum;319628;Pesos;6;17/8/2022;5,65092E+15;E Commerce;22/8/2022;Local de venta de artículos para el hogar / Bazar;Chubut;Córdoba;0;Masculino;358088;25
40;Credicoop;Visa;Signature Black;418080;Pesos;1;4/1/2022;6,38263E+15;MODO;11/1/2022;Regalerías;San Luis;Misiones;0;Masculino;854415;23
41;Supervielle;Visa;Internacional;891996;Pesos;3;25/9/2022;5,67792E+15;QR;26/9/2022;Jugueterías;Buenos Aires;Entre Ríos;0;Masculino;327232;22
42;HSBC;Visa;Nacional;540406;Pesos;6;5/3/2022;4,35224E+15;Mercado Pago;9/3/2022;Librerías;Santa Cruz;Catamarca;0;Masculino;808872;18
43;Itaú;Visa;Nacional;790191;Pesos;6;7/2/2022;5,16627E+15;Presencial;14/2/2022;Local de venta de artículos de decoración y objetos de arte;Entre Ríos;Chaco;;Masculino;611569;20
44;Columbia;Visa;Internacional;81432;Dólares;1;10/6/2022;6,04272E+15;Venta Teléfonica;14/6/2022;Mueblerías;Santiago del Estero;La Pampa;1;Masculino;705413;24
45;BBVA;Visa;Platinum;416426;Pesos;6;31/3/2022;4,42297E+15;Débito Automático;2/4/2022;Venta de equipamiento comercial y de servicios;San Luis;Santa Fe;0;Masculino;776471;19
46;Comafi;Visa;Platinum;73946;Pesos;1;27/1/2022;5,57999E+15;E Commerce;29/1/2022;Local de venta de electrodomésticos;Entre Ríos;San Luis;0;Masculino;673782;23
47;Patagonia;Visa;Signature Black;496058;Pesos;6;18/3/2022;6,84548E+15;MODO;20/3/2022;Otros rubros;Neuquén;Santa Cruz;0;Masculino;683978;19
48;Hipotecario;Visa;Internacional;233280;Pesos;1;7/2/2022;4,93084E+15;QR;14/2/2022;Peluquerías y barberías;Misiones;Chubut;;Masculino;809222;21
49;Galicia;Visa;Nacional;42647;Pesos;6;29/10/2022;6,01026E+15;Mercado Pago;1/11/2022;Talleres mecánicos;Santa Fe;San Luis;0;Masculino;852485;19
50;Macro;Visa;Nacional;310152;Pesos;1;28/4/2022;6,63776E+15;Presencial;4/5/2022;Local de venta de repuestos para automotores;Chaco;Formosa;0;Masculino;651579;23
51;Santander;Visa;Internacional;244886;Pesos;1;15/8/2022;6,96014E+15;Venta Teléfonica;18/8/2022;Talleres textiles;Corrientes;Entre Ríos;0;Masculino;157137;23
52;Credicoop;Visa;Platinum;439922;Pesos;3;31/12/2022;6,85026E+15;Débito Automático;6/1/2023;Servicio técnico de celulares;Tierra del Fuego;Río Negro;0;Masculino;592990;24
53;Supervielle;Visa;Platinum;992710;Pesos;1;3/3/2022;4,25705E+15;E Commerce;7/3/2022;Servicio técnico de artículos del hogar;Buenos Aires;Santiago del Estero;0;Masculino;475966;19
54;HSBC;Visa;Signature Black;669112;Pesos;1;7/3/2022;6,52926E+15;MODO;10/3/2022;Bicicleterías;Chubut;San Juan;0;Masculino;267753;18
55;Itaú;Visa;Internacional;229745;Dólares;1;11/5/2022;5,55652E+15;QR;16/5/2022;Local de perforación y tatuajes;Misiones;San Luis;1;Masculino;806294;19
56;Columbia;Visa;Nacional;156868;Pesos;6;9/7/2022;6,93193E+15;Mercado Pago;12/7/2022;Salones de estética;Santa Cruz;Jujuy;0;Masculino;655482;22
57;BBVA;Visa;Nacional;214127;Pesos;3;11/10/2022;5,31406E+15;Presencial;13/10/2022;Consultorios y Centros médicos;Chubut;Jujuy;0;Masculino;800217;21
58;Comafi;Visa;Internacional;471366;Pesos;6;8/6/2022;5,12405E+15;Venta Teléfonica;13/6/2022;Gimnasios / Centros de entrenamiento;Chaco;Entre Ríos;0;Masculino;470023;18
59;Patagonia;Visa;Platinum;931526;Pesos;1;9/11/2022;5,60538E+15;Débito Automático;11/11/2022;Bares;La Pampa;Santa Fe;0;Masculino;535359;19
60;Hipotecario;Visa;Platinum;213659;Pesos;1;7/12/2022;6,17129E+15;E Commerce;11/12/2022;Cervecerías artesanales;Tierra del Fuego;La Rioja;0;Masculino;436773;24
61;Galicia;Visa;Signature Black;304945;Pesos;1;25/6/2022;5,01992E+15;MODO;29/6/2022;Casas de comidas;Buenos Aires;Formosa;0;Masculino;804552;19
62;Macro;Visa;Internacional;19059;Pesos;1;18/1/2022;6,11782E+15;QR;19/1/2022;Rotiserías;Río Negro;Río Negro;0;Masculino;333838;21
63;Santander;Visa;Nacional;405049;Pesos;1;7/8/2022;4,45585E+15;Mercado Pago;14/8/2022;Casas de comida por peso;Santa Cruz;Catamarca;0;Masculino;685327;22
64;Credicoop;Visa;Nacional;774110;Pesos;3;26/9/2022;6,29739E+15;Presencial;3/10/2022;Cafeterías;Tierra del Fuego;Catamarca;0;Masculino;463602;19
65;Supervielle;Visa;Internacional;304445;Pesos;3;12/12/2022;6,69909E+15;Venta Teléfonica;15/12/2022;Restaurantes;CABA;Chaco;0;Masculino;233050;20
66;HSBC;Visa;Platinum;559969;Dólares;3;1/9/2022;4,12359E+15;Débito Automático;2/9/2022;Hamburgueserías;Santa Cruz;Misiones;1;Masculino;810573;25
67;Itaú;Visa;Platinum;71660;Pesos;3;9/12/2022;4,22116E+15;E Commerce;12/12/2022;Pizzerías;Buenos Aires;Río Negro;0;Masculino;148377;25
68;Columbia;Visa;Signature Black;48855;Pesos;1;13/3/2022;6,20205E+15;MODO;14/3/2022;Casas de empanadas;Misiones;Misiones;0;Masculino;103244;19
69;BBVA;Visa;Internacional;405684;Pesos;1;15/9/2022;4,86864E+15;QR;16/9/2022;Almacenes o Fiambrerías;Río Negro;Misiones;0;Masculino;297047;24
70;Comafi;Visa;Nacional;629354;Pesos;1;14/8/2022;5,87311E+15;Mercado Pago;16/8/2022;Dietéticas o Tiendas naturistas;La Rioja;Jujuy;0;Masculino;352383;18
71;Patagonia;Visa;Nacional;828289;Pesos;1;8/10/2022;5,20764E+15;Presencial;15/10/2022;Verdulerías y Fruterías;Salta;Neuquén;0;Masculino;175740;20
72;Hipotecario;Visa;Internacional;396117;Pesos;6;22/1/2022;5,6766E+15;Venta Teléfonica;26/1/2022;Carnicerías;Chubut;Santiago del Estero;0;Masculino;854451;23
73;Galicia;Visa;Platinum;604391;Pesos;1;22/7/2022;6,01049E+15;Débito Automático;28/7/2022;Granjas o Pollerías;Jujuy;Mendoza;0;Masculino;197835;19
74;Macro;Visa;Platinum;998055;Pesos;1;2/10/2022;5,1136E+15;E Commerce;8/10/2022;Kioskos;Santa Cruz;San Juan;0;Masculino;398915;20
75;Santander;Visa;Signature Black;791540;Pesos;3;23/12/2022;5,53545E+15;MODO;25/12/2022;Agencias de Turismo;Santiago del Estero;Formosa;0;Masculino;513185;23
76;Credicoop;Visa;Internacional;947000;Pesos;1;15/3/2022;5,91811E+15;QR;20/3/2022;Inmobiliarias;Río Negro;Buenos Aires;0;Masculino;601278;20
77;Supervielle;Visa;Nacional;593819;Dólares;1;3/4/2022;4,24227E+15;Mercado Pago;5/4/2022;Estudios profesionales;Mendoza;CABA;1;Masculino;881735;20
78;HSBC;Visa;Nacional;502300;Pesos;3;4/5/2022;5,60904E+15;Presencial;7/5/2022;Estudios contables;Chaco;Santiago del Estero;0;Masculino;467418;24
79;Itaú;Visa;Internacional;620568;Pesos;3;2/10/2022;5,92417E+15;Venta Teléfonica;6/10/2022;Estudios jurídicos;La Rioja;CABA;0;Masculino;676458;24
80;Columbia;Visa;Platinum;365789;Pesos;1;28/2/2022;5,8928E+15;Débito Automático;2/3/2022;Empresas de servicios;Formosa;Mendoza;0;Masculino;309138;18
81;BBVA;Visa;Platinum;60828;Pesos;3;3/9/2022;5,30702E+15;E Commerce;7/9/2022;Empresas de limpieza de edificios;La Rioja;San Juan;0;Masculino;802157;22
82;Comafi;Visa;Signature Black;486241;Pesos;1;18/5/2022;6,00756E+15;MODO;24/5/2022;Empresas de fumigación / desinfección;Santa Fe;Corrientes;0;Masculino;164162;20
83;Patagonia;Visa;Internacional;677725;Pesos;1;8/11/2022;4,6607E+15;QR;9/11/2022;Empresas de limpieza de tanques;San Luis;Buenos Aires;0;Masculino;590299;21
84;Hipotecario;Visa;Nacional;435521;Pesos;1;2/11/2022;6,56326E+15;Mercado Pago;5/11/2022;Empresas de mantenimiento y reparación de edificios;Catamarca;Santa Cruz;0;Masculino;89786;25
85;Galicia;Visa;Nacional;738184;Pesos;3;26/6/2022;6,75917E+15;Presencial;30/6/2022;Empresas de construcción;Chaco;Río Negro;0;Masculino;158908;21
86;Macro;Visa;Internacional;388001;Pesos;3;21/1/2022;5,76127E+15;Venta Teléfonica;22/1/2022;Venta de indumentaria y accesorios;La Pampa;Chaco;0;Masculino;668322;19
87;Santander;Visa;Platinum;436920;Pesos;1;10/12/2022;6,13731E+15;Débito Automático;17/12/2022;Venta de calzado;La Pampa;Neuquén;0;Masculino;654214;18
88;Credicoop;Visa;Platinum;921129;Dólares;3;27/9/2022;5,80221E+15;E Commerce;2/10/2022;Venta de artículos deportivos;Jujuy;Catamarca;1;Masculino;355116;22
89;Supervielle;Visa;Signature Black;454068;Pesos;1;9/6/2022;5,81884E+15;MODO;11/6/2022;Showrooms;Neuquén;Corrientes;0;Masculino;194978;19
90;HSBC;Visa;Internacional;247743;Pesos;1;14/1/2022;6,34637E+15;QR;21/1/2022;Ferreterías y Cerrajerías;Neuquén;San Luis;0;Masculino;417215;25
91;Itaú;Visa;Nacional;325326;Pesos;3;26/11/2022;6,4613E+15;Mercado Pago;29/11/2022;Venta de relojería y joyería;Entre Ríos;Mendoza;0;Masculino;377283;24
92;Columbia;Visa;Nacional;628698;Pesos;3;27/12/2022;5,32857E+15;Presencial;29/12/2022;Venta de artículos de perfumería y tocador;Buenos Aires;Santa Fe;0;Masculino;234951;21
93;BBVA;Visa;Internacional;641176;Pesos;1;15/4/2022;5,90913E+15;Venta Teléfonica;20/4/2022;Ópticas y casas de artículos de fotografía;Buenos Aires;Misiones;0;Masculino;786187;19
94;Comafi;Visa;Platinum;910313;Pesos;1;19/8/2022;4,92752E+15;Débito Automático;25/8/2022;Ventas y servicio técnico de Celulares e Informática;Neuquén;San Luis;0;Masculino;712086;19
95;Patagonia;Visa;Platinum;952518;Pesos;3;12/12/2022;6,49172E+15;E Commerce;19/12/2022;Local de venta de materialeles de construcción;Misiones;Salta;0;Masculino;722517;25
96;Hipotecario;Visa;Signature Black;655320;Pesos;1;8/9/2022;5,37382E+15;MODO;12/9/2022;Pinturerías;Chubut;Córdoba;0;Masculino;454239;23
97;Galicia;Visa;Internacional;108053;Pesos;1;3/9/2022;5,907E+15;QR;10/9/2022;Local de venta de artículos para el hogar / Bazar;La Pampa;Córdoba;0;Masculino;339784;24
98;Macro;Visa;Nacional;277245;Pesos;3;27/1/2022;6,19548E+15;Mercado Pago;3/2/2022;Regalerías;Tierra del Fuego;La Rioja;0;Masculino;615325;23
99;Santander;Visa;Nacional;813913;Dólares;1;5/11/2022;5,13806E+15;Presencial;6/11/2022;Jugueterías;Mendoza;Santiago del Estero;1;Masculino;365375;22
100;Credicoop;Visa;Internacional;469257;Pesos;3;30/9/2022;6,45637E+15;Venta Teléfonica;1/10/2022;Librerías;La Pampa;Jujuy;0;Masculino;707597;20
101;Supervielle;Visa;Platinum;343103;Pesos;3;18/2/2022;4,61182E+15;Débito Automático;24/2/2022;Local de venta de artículos de decoración y objetos de arte;San Luis;La Rioja;0;Masculino;623276;21
102;HSBC;Visa;Platinum;84346;Pesos;6;23/4/2022;4,30558E+15;E Commerce;29/4/2022;Mueblerías;Catamarca;Neuquén;0;Masculino;659227;19
103;Itaú;Visa;Signature Black;929897;Pesos;1;6/7/2022;6,60154E+15;MODO;13/7/2022;Venta de equipamiento comercial y de servicios;Córdoba;Tierra del Fuego;0;Masculino;142023;18
104;Columbia;Visa;Internacional;725222;Pesos;3;21/7/2022;6,65705E+15;QR;27/7/2022;Local de venta de electrodomésticos;Río Negro;Santa Fe;0;Masculino;607521;21
105;BBVA;Visa;Nacional;499139;Pesos;3;9/5/2022;5,1321E+15;Mercado Pago;10/5/2022;Otros rubros;San Juan;Neuquén;0;Masculino;167468;22
106;Comafi;Visa;Nacional;250858;Pesos;6;6/5/2022;6,53605E+15;Presencial;7/5/2022;Peluquerías y barberías;Mendoza;San Juan;0;Masculino;247469;25
107;Patagonia;Visa;Internacional;606909;Pesos;1;12/1/2022;6,38484E+15;Venta Teléfonica;17/1/2022;Talleres mecánicos;Tierra del Fuego;CABA;0;Masculino;199231;20
108;Hipotecario;Visa;Platinum;801636;Pesos;1;30/8/2022;6,70022E+15;Débito Automático;3/9/2022;Local de venta de repuestos para automotores;Buenos Aires;CABA;0;Masculino;498703;23
109;Galicia;Visa;Platinum;884896;Pesos;1;20/10/2022;6,38906E+15;E Commerce;23/10/2022;Talleres textiles;Santa Cruz;Misiones;0;Masculino;126179;24
110;Macro;Visa;Signature Black;543632;Dólares;6;8/9/2022;5,11857E+15;MODO;12/9/2022;Servicio técnico de celulares;Santa Fe;San Luis;1;Masculino;577873;20
111;Santander;Visa;Internacional;522556;Pesos;1;10/8/2022;4,63073E+15;QR;12/8/2022;Servicio técnico de artículos del hogar;Catamarca;Corrientes;0;Masculino;292462;22
112;Credicoop;Visa;Nacional;560576;Pesos;3;8/2/2022;6,86933E+15;Mercado Pago;15/2/2022;Bicicleterías;Formosa;Santa Fe;0;Masculino;162708;25
113;Supervielle;Visa;Nacional;889740;Pesos;1;27/4/2022;6,21762E+15;Presencial;28/4/2022;Local de perforación y tatuajes;Formosa;Tierra del Fuego;0;Masculino;643836;25
114;HSBC;Visa;Internacional;772140;Pesos;1;5/6/2022;6,16891E+15;Venta Teléfonica;10/6/2022;Salones de estética;Corrientes;La Pampa;0;Masculino;332525;22
115;Itaú;Visa;Platinum;916486;Pesos;3;12/12/2022;4,69135E+15;Débito Automático;18/12/2022;Consultorios y Centros médicos;Entre Ríos;CABA;0;Masculino;429937;24
116;Columbia;Visa;Platinum;291478;Pesos;1;11/9/2022;4,29462E+15;E Commerce;15/9/2022;Gimnasios / Centros de entrenamiento;Corrientes;Buenos Aires;0;Masculino;488933;18
117;BBVA;Visa;Signature Black;392972;Pesos;3;9/10/2022;6,79719E+15;MODO;11/10/2022;Bares;Chaco;Santa Fe;0;Masculino;876004;25
118;Comafi;Visa;Internacional;813820;Pesos;1;4/9/2022;4,55817E+15;QR;9/9/2022;Cervecerías artesanales;Chaco;Neuquén;0;Masculino;435583;23
119;Patagonia;Visa;Nacional;318871;Pesos;6;11/2/2022;5,86352E+15;Mercado Pago;12/2/2022;Casas de comidas;Formosa;San Luis;0;Masculino;849774;25
120;Hipotecario;Visa;Nacional;181569;Pesos;1;10/3/2022;6,88635E+15;Presencial;11/3/2022;Rotiserías;La Rioja;Río Negro;0;Masculino;578870;19
121;Galicia;Visa;Internacional;535408;Dólares;1;19/8/2022;4,82846E+15;Venta Teléfonica;20/8/2022;Casas de comida por peso;Santiago del Estero;Chubut;1;Masculino;327697;20
122;Macro;Visa;Platinum;823136;Pesos;1;30/6/2022;6,41833E+15;Débito Automático;1/7/2022;Cafeterías;San Juan;Misiones;0;Masculino;350487;24
123;Santander;Visa;Platinum;792561;Pesos;3;6/5/2022;6,67449E+15;E Commerce;12/5/2022;Restaurantes;Río Negro;Tierra del Fuego;0;Masculino;461804;24
124;Credicoop;Visa;Signature Black;993192;Pesos;1;10/12/2022;6,35876E+15;MODO;16/12/2022;Hamburgueserías;Tierra del Fuego;Salta;0;Masculino;789031;21
125;Supervielle;Visa;Internacional;714388;Pesos;6;22/12/2022;4,16975E+15;QR;26/12/2022;Pizzerías;Santa Cruz;Neuquén;0;Masculino;127997;22
126;HSBC;Visa;Nacional;904984;Pesos;1;26/9/2022;4,3815E+15;Mercado Pago;29/9/2022;Casas de empanadas;CABA;Santiago del Estero;0;Masculino;139899;24
127;Itaú;Visa;Nacional;508169;Pesos;1;11/11/2022;5,80327E+15;Presencial;14/11/2022;Almacenes o Fiambrerías;Corrientes;Entre Ríos;0;Masculino;897716;23
128;Columbia;Visa;Internacional;132235;Pesos;1;19/6/2022;4,65285E+15;Venta Teléfonica;25/6/2022;Dietéticas o Tiendas naturistas;Salta;CABA;0;Masculino;324796;24
129;BBVA;Visa;Platinum;982352;Pesos;6;4/11/2022;5,18546E+15;Débito Automático;10/11/2022;Verdulerías y Fruterías;Neuquén;Salta;0;Masculino;875967;24
130;Comafi;Visa;Platinum;573108;Pesos;3;11/11/2022;5,69407E+15;E Commerce;18/11/2022;Carnicerías;Tierra del Fuego;Formosa;0;Masculino;621317;21
131;Patagonia;Visa;Signature Black;176387;Pesos;3;2/5/2022;5,7293E+15;MODO;8/5/2022;Granjas o Pollerías;Chaco;Córdoba;0;Masculino;206645;21
132;Hipotecario;Visa;Internacional;176089;Dólares;1;3/4/2022;6,09314E+15;QR;10/4/2022;Kioskos;Santa Cruz;Santiago del Estero;1;Masculino;84577;25
133;Galicia;Visa;Nacional;792613;Pesos;6;7/11/2022;5,45013E+15;Mercado Pago;12/11/2022;Agencias de Turismo;Córdoba;San Juan;0;Masculino;664507;21
134;Macro;Visa;Nacional;851737;Pesos;6;11/6/2022;6,63469E+15;Presencial;13/6/2022;Inmobiliarias;Tierra del Fuego;San Luis;0;Masculino;858510;22
135;Santander;Visa;Internacional;32474;Pesos;1;27/10/2022;5,20024E+15;Venta Teléfonica;2/11/2022;Estudios profesionales;Mendoza;San Luis;0;Masculino;865307;18
136;Credicoop;Visa;Platinum;399545;Pesos;1;5/6/2022;4,91019E+15;Débito Automático;9/6/2022;Estudios contables;Córdoba;Jujuy;0;Masculino;819268;19
137;Supervielle;Visa;Platinum;808907;Pesos;1;20/11/2022;6,31455E+15;E Commerce;21/11/2022;Estudios jurídicos;Misiones;Chubut;0;Masculino;146742;22
138;HSBC;Visa;Signature Black;14105;Pesos;3;18/11/2022;4,40987E+15;MODO;24/11/2022;Empresas de servicios;Jujuy;Misiones;0;Masculino;167149;22
139;Itaú;Visa;Internacional;221170;Pesos;1;2/9/2022;6,40117E+15;QR;3/9/2022;Empresas de limpieza de edificios;La Pampa;Chubut;0;Masculino;882915;20
140;Columbia;Visa;Nacional;301205;Pesos;1;27/4/2022;5,997E+15;Mercado Pago;2/5/2022;Empresas de fumigación / desinfección;La Rioja;La Pampa;0;Masculino;303065;23
141;BBVA;Visa;Nacional;565073;Pesos;6;14/5/2022;5,33695E+15;Presencial;17/5/2022;Empresas de limpieza de tanques;San Juan;Corrientes;0;Masculino;757261;23
142;Comafi;Visa;Internacional;776080;Pesos;6;18/3/2022;6,47019E+15;Venta Teléfonica;24/3/2022;Empresas de mantenimiento y reparación de edificios;Río Negro;La Pampa;0;Masculino;791778;19
143;Patagonia;Visa;Platinum;252558;Dólares;1;8/6/2022;6,1644E+15;Débito Automático;10/6/2022;Empresas de construcción;Río Negro;Neuquén;1;Masculino;348541;20
144;Hipotecario;Visa;Platinum;143661;Pesos;3;11/10/2022;4,82102E+15;E Commerce;14/10/2022;Venta de indumentaria y accesorios;Entre Ríos;Mendoza;0;Masculino;732461;20
145;Galicia;Visa;Signature Black;165507;Pesos;1;25/6/2022;4,19549E+15;MODO;1/7/2022;Venta de calzado;Santa Fe;San Juan;0;Masculino;747118;21
146;Macro;Visa;Internacional;800706;Pesos;1;2/1/2022;6,04753E+15;QR;6/1/2022;Venta de artículos deportivos;La Rioja;San Luis;0;Masculino;796263;23
147;Santander;Visa;Nacional;275758;Pesos;1;22/7/2022;5,2618E+15;Mercado Pago;24/7/2022;Showrooms;San Juan;Tierra del Fuego;0;Masculino;781335;22
148;Credicoop;Visa;Nacional;367636;Pesos;1;1/2/2022;4,53197E+15;Presencial;8/2/2022;Ferreterías y Cerrajerías;Río Negro;Entre Ríos;0;Masculino;225613;21
149;Supervielle;Visa;Internacional;339603;Pesos;3;6/8/2022;5,75923E+15;Venta Teléfonica;10/8/2022;Venta de relojería y joyería;Santiago del Estero;Entre Ríos;0;Masculino;108186;18
150;HSBC;Visa;Platinum;221514;Pesos;3;12/7/2022;4,86662E+15;Débito Automático;15/7/2022;Venta de artículos de perfumería y tocador;Tierra del Fuego;Neuquén;0;Masculino;850891;20
151;Itaú;Visa;Platinum;743738;Pesos;3;31/10/2022;6,42573E+15;E Commerce;2/11/2022;Ópticas y casas de artículos de fotografía;Misiones;Entre Ríos;0;Masculino;648893;22
